code,name,industry,price,intrinsic_value,undervalue_rate,pe,pb,eps,bvps,roe
600519,贵州茅台,白酒,1459.88,2014.73,0.3801,15.0,1.5,97.33,973.25,0.1
000858,五粮液,白酒,105.0,144.9,0.38,15.0,1.5,7.0,70.0,0.1
000568,泸州老窖,白酒,105.96,146.14,0.3792,15.01,1.5,7.06,70.64,0.1
002304,洋河股份,白酒,51.85,71.62,0.3813,14.99,1.5,3.46,34.57,0.1
600809,山西汾酒,白酒,144.06,198.72,0.3794,15.01,1.5,9.6,96.04,0.1
000799,酒鬼酒,白酒,43.12,59.41,0.3778,15.02,1.5,2.87,28.75,0.1
603369,今世缘,白酒,27.5,37.88,0.3775,15.03,1.5,1.83,18.33,0.1
600559,老白干酒,白酒,13.61,18.84,0.3843,14.96,1.5,0.91,9.07,0.1
000596,古井贡酒,白酒,110.19,152.14,0.3807,14.99,1.5,7.35,73.46,0.1
600702,舍得酒业,白酒,45.5,62.72,0.3785,15.02,1.5,3.03,30.33,0.1
603589,口子窖,白酒,25.19,34.78,0.3807,14.99,1.5,1.68,16.79,0.1
600779,水井坊,白酒,33.24,45.95,0.3824,14.97,1.5,2.22,22.16,0.1
000860,顺鑫农业,白酒,12.9,17.8,0.3798,15.0,1.5,0.86,8.6,0.1
603198,迎驾贡酒,白酒,36.35,50.09,0.378,15.02,1.5,2.42,24.23,0.1
002714,牧原股份,猪肉,43.65,43.65,0.0,15.0,1.5,2.91,29.1,0.1
300498,温氏股份,猪肉,16.81,16.82,0.0006,15.01,1.5,1.12,11.21,0.1
002157,正邦科技,猪肉,3.08,3.07,-0.0032,14.67,1.5,0.21,2.05,0.1
600975,新五丰,猪肉,5.45,5.45,0.0,15.14,1.5,0.36,3.63,0.1
603363,傲农生物,猪肉,3.99,3.99,0.0,14.78,1.5,0.27,2.66,0.1
002567,唐人神,猪肉,4.13,4.12,-0.0024,14.75,1.5,0.28,2.75,0.1
001209,华统股份,猪肉,20.31,20.31,0.0,15.04,1.5,1.35,13.54,0.1
002311,海大集团,猪肉,53.02,53.03,0.0002,15.02,1.5,3.53,35.35,0.1
300474,景嘉微,GPU,56.03,116.58,1.0807,14.98,1.5,3.74,37.35,0.1
688256,寒武纪,GPU,998.99,2077.92,1.08,15.0,1.5,66.6,665.99,0.1
300223,北京君正,GPU,106.12,220.69,1.0796,15.01,1.5,7.07,70.75,0.1
688047,龙芯中科,GPU,128.36,266.97,1.0799,15.0,1.5,8.56,85.57,0.1
002049,紫光国微,GPU,65.9,137.07,1.08,15.01,1.5,4.39,43.93,0.1
688037,芯原股份,GPU,166.46,346.22,1.0799,15.0,1.5,11.1,110.97,0.1
603019,中科曙光,GPU,78.08,162.45,1.0806,14.99,1.5,5.21,52.05,0.1
300101,振芯科技,GPU,19.84,41.29,1.0811,15.03,1.5,1.32,13.23,0.1
688041,海光信息,GPU,213.0,443.04,1.08,15.0,1.5,14.2,142.0,0.1
002371,北方华创,GPU,438.0,911.04,1.08,15.0,1.5,29.2,292.0,0.1
601318,中国平安,保险,57.26,38.17,-0.3334,14.99,1.5,3.82,38.17,0.1
600036,招商银行,银行,39.76,26.51,-0.3332,15.0,1.5,2.65,26.51,0.1
000333,美的集团,家用电器,77.37,77.4,0.0004,14.99,1.5,5.16,51.58,0.1
300750,宁德时代,电子,401.17,401.15,-0.0,15.0,1.5,26.74,267.45,0.1
600276,恒瑞医药,医药生物,57.37,57.3,-0.0012,15.02,1.5,3.82,38.25,0.1
000001,平安银行,银行,11.27,7.51,-0.3336,15.03,1.5,0.75,7.51,0.1
600887,伊利股份,食品饮料,26.43,26.4,-0.0011,15.02,1.5,1.76,17.62,0.1
000651,格力电器,家用电器,37.85,37.8,-0.0013,15.02,1.5,2.52,25.23,0.1
601398,工商银行,银行,7.63,5.09,-0.3329,14.96,1.5,0.51,5.09,0.1
600309,万华化学,化工,82.71,82.65,-0.0007,15.01,1.5,5.51,55.14,0.1
000002,万  科Ａ,其他,3.92,3.9,-0.0051,15.08,1.5,0.26,2.61,0.1
000004,*ST国华,其他,4.12,4.05,-0.017,15.26,1.5,0.27,2.75,0.1
000006,深振业Ａ,其他,8.92,8.85,-0.0078,15.12,1.5,0.59,5.95,0.1
000007,全新好,其他,12.87,12.9,0.0023,14.97,1.5,0.86,8.58,0.1
000008,神州高铁,其他,3.12,3.15,0.0096,14.86,1.5,0.21,2.08,0.1
000009,中国宝安,其他,8.66,8.7,0.0046,14.93,1.5,0.58,5.77,0.1
000010,美丽生态,其他,3.87,3.9,0.0078,14.88,1.5,0.26,2.58,0.1
000011,深物业A,其他,8.4,8.4,0.0,15.0,1.5,0.56,5.6,0.1
000012,南  玻Ａ,其他,4.45,4.5,0.0112,14.83,1.5,0.3,2.97,0.1
000014,沙河股份,其他,13.27,13.2,-0.0053,15.08,1.5,0.88,8.85,0.1
000016,深康佳Ａ,其他,3.26,3.3,0.0123,14.82,1.5,0.22,2.17,0.1
000017,深中华A,其他,6.82,6.75,-0.0103,15.16,1.5,0.45,4.55,0.1
000019,深粮控股,其他,7.63,7.65,0.0026,14.96,1.5,0.51,5.09,0.1
000020,深华发Ａ,其他,15.47,15.45,-0.0013,15.02,1.5,1.03,10.31,0.1
000021,深科技,其他,25.65,25.65,0.0,15.0,1.5,1.71,17.1,0.1
000025,特  力Ａ,其他,15.93,15.9,-0.0019,15.03,1.5,1.06,10.62,0.1
000026,飞亚达,其他,14.41,14.4,-0.0007,15.01,1.5,0.96,9.61,0.1
000027,深圳能源,其他,6.78,6.75,-0.0044,15.07,1.5,0.45,4.52,0.1
000028,国药一致,其他,27.0,27.0,0.0,15.0,1.5,1.8,18.0,0.1
000029,深深房Ａ,其他,19.52,19.5,-0.001,15.02,1.5,1.3,13.01,0.1
