code,name,industry,price,intrinsic_value,undervalue_rate,pe,pb,eps,bvps,roe
000001,平安银行,银行,11.12,7.41,-0.3336,15.03,1.5,0.74,7.41,0.1
600887,伊利股份,食品饮料,26.31,26.25,-0.0023,15.03,1.5,1.75,17.54,0.1
000651,格力电器,家用电器,37.47,37.5,0.0008,14.99,1.5,2.5,24.98,0.1
601398,工商银行,银行,7.5,5.0,-0.3333,15.0,1.5,0.5,5.0,0.1
600309,万华化学,化工,82.38,82.35,-0.0004,15.01,1.5,5.49,54.92,0.1
000002,万  科Ａ,其他,3.82,3.75,-0.0183,15.28,1.5,0.25,2.55,0.1
000004,*ST国华,其他,3.91,3.9,-0.0026,15.04,1.5,0.26,2.61,0.1
000006,深振业Ａ,其他,8.15,8.1,-0.0061,15.09,1.5,0.54,5.43,0.1
000007,全新好,其他,12.37,12.3,-0.0057,15.09,1.5,0.82,8.25,0.1
000008,神州高铁,其他,2.81,2.85,0.0142,14.79,1.5,0.19,1.87,0.1
000009,中国宝安,其他,8.43,8.4,-0.0036,15.05,1.5,0.56,5.62,0.1
000010,美丽生态,其他,3.68,3.75,0.019,14.72,1.5,0.25,2.45,0.1
000011,深物业A,其他,8.14,8.1,-0.0049,15.07,1.5,0.54,5.43,0.1
000012,南  玻Ａ,其他,4.35,4.35,0.0,15.0,1.5,0.29,2.9,0.1
000014,沙河股份,其他,12.7,12.75,0.0039,14.94,1.5,0.85,8.47,0.1
000016,深康佳Ａ,其他,3.07,3.0,-0.0228,15.35,1.5,0.2,2.05,0.1
000017,深中华A,其他,6.57,6.6,0.0046,14.93,1.5,0.44,4.38,0.1
000019,深粮控股,其他,7.13,7.2,0.0098,14.85,1.5,0.48,4.75,0.1
000020,深华发Ａ,其他,14.82,14.85,0.002,14.97,1.5,0.99,9.88,0.1
000021,深科技,其他,25.65,25.65,0.0,15.0,1.5,1.71,17.1,0.1
000025,特  力Ａ,其他,15.6,15.6,0.0,15.0,1.5,1.04,10.4,0.1
000026,飞亚达,其他,14.4,14.4,0.0,15.0,1.5,0.96,9.6,0.1
000027,深圳能源,其他,6.6,6.6,0.0,15.0,1.5,0.44,4.4,0.1
000028,国药一致,其他,26.4,26.4,0.0,15.0,1.5,1.76,17.6,0.1
000029,深深房Ａ,其他,19.27,19.2,-0.0036,15.05,1.5,1.28,12.85,0.1
