code,name,industry,price,intrinsic_value,undervalue_rate,pe,pb,eps,bvps,roe
600519,贵州茅台,白酒,1460.0,2014.73,0.38,15.0,1.5,97.33,973.33,0.1
000858,五粮液,白酒,103.49,142.83,0.3801,15.0,1.5,6.9,68.99,0.1
000568,泸州老窖,白酒,104.27,143.87,0.3798,15.0,1.5,6.95,69.51,0.1
002304,洋河股份,白酒,50.66,69.97,0.3812,14.99,1.5,3.38,33.77,0.1
600809,山西汾酒,白酒,141.7,195.61,0.3805,14.99,1.5,9.45,94.47,0.1
000799,酒鬼酒,白酒,41.41,57.13,0.3796,15.0,1.5,2.76,27.61,0.1
603369,今世缘,白酒,26.14,36.02,0.378,15.02,1.5,1.74,17.43,0.1
600559,老白干酒,白酒,13.32,18.42,0.3829,14.97,1.5,0.89,8.88,0.1
000596,古井贡酒,白酒,106.46,146.97,0.3805,14.99,1.5,7.1,70.97,0.1
600702,舍得酒业,白酒,44.16,60.86,0.3782,15.02,1.5,2.94,29.44,0.1
603589,口子窖,白酒,24.49,33.74,0.3777,15.02,1.5,1.63,16.33,0.1
600779,水井坊,白酒,32.16,44.3,0.3775,15.03,1.5,2.14,21.44,0.1
000860,顺鑫农业,白酒,12.64,17.39,0.3758,15.05,1.5,0.84,8.43,0.1
603198,迎驾贡酒,白酒,35.52,49.06,0.3812,14.99,1.5,2.37,23.68,0.1
002714,牧原股份,猪肉,42.9,42.9,0.0,15.0,1.5,2.86,28.6,0.1
300498,温氏股份,猪肉,16.31,16.3,-0.0006,14.96,1.5,1.09,10.87,0.1
002157,正邦科技,猪肉,3.03,3.03,0.0,15.15,1.5,0.2,2.02,0.1
600975,新五丰,猪肉,5.27,5.26,-0.0019,15.06,1.5,0.35,3.51,0.1
603363,傲农生物,猪肉,3.84,3.84,0.0,14.77,1.5,0.26,2.56,0.1
002567,唐人神,猪肉,4.0,4.0,0.0,14.81,1.5,0.27,2.67,0.1
001209,华统股份,猪肉,19.5,19.5,0.0,15.0,1.5,1.3,13.0,0.1
002311,海大集团,猪肉,51.85,51.86,0.0002,14.99,1.5,3.46,34.57,0.1
300474,景嘉微,GPU,55.05,114.5,1.0799,15.0,1.5,3.67,36.7,0.1
688256,寒武纪,GPU,1025.7,2133.46,1.08,15.0,1.5,68.38,683.8,0.1
300223,北京君正,GPU,104.7,217.78,1.08,15.0,1.5,6.98,69.8,0.1
688047,龙芯中科,GPU,127.08,264.37,1.0803,15.0,1.5,8.47,84.72,0.1
002049,紫光国微,GPU,64.92,134.99,1.0793,14.99,1.5,4.33,43.28,0.1
688037,芯原股份,GPU,164.26,341.64,1.0799,15.0,1.5,10.95,109.51,0.1
603019,中科曙光,GPU,77.89,162.03,1.0802,15.01,1.5,5.19,51.93,0.1
300101,振芯科技,GPU,19.34,40.25,1.0812,14.99,1.5,1.29,12.89,0.1
688041,海光信息,GPU,213.77,444.6,1.0798,15.0,1.5,14.25,142.51,0.1
002371,北方华创,GPU,426.45,887.02,1.08,15.0,1.5,28.43,284.3,0.1
601318,中国平安,保险,57.25,38.17,-0.3333,14.99,1.5,3.82,38.17,0.1
600036,招商银行,银行,39.4,26.27,-0.3332,14.98,1.5,2.63,26.27,0.1
000333,美的集团,家用电器,76.35,76.35,0.0,15.0,1.5,5.09,50.9,0.1
300750,宁德时代,电子,386.46,386.45,-0.0,15.0,1.5,25.76,257.64,0.1
600276,恒瑞医药,医药生物,56.38,56.4,0.0004,14.99,1.5,3.76,37.59,0.1
