id,stock_code,stock_name,title,announce_type,publish_date,url,signal,signal_text,keywords,growth_pct,strength
2026-04-02-753,002456,欧菲光,欧菲光:关于未弥补的亏损达实收股本总额三分之一的公告,其他,2026-04-02,https://data.eastmoney.com/notices/detail/002456/AN202604011820959222.html,negative,低于预期,亏损,,1
2026-04-02-893,300373,扬杰科技,扬杰科技:2026年第一季度业绩预告,业绩预告,2026-04-02,https://data.eastmoney.com/notices/detail/300373/AN202604011820958202.html,neutral,业绩公告,,,1
2026-04-02-916,600810,神马股份,神马股份:神马股份2025年年度业绩预告更正公告,业绩预告,2026-04-02,https://data.eastmoney.com/notices/detail/600810/AN202604011820957881.html,neutral,业绩公告,,,1
2026-04-02-1232,002671,龙泉股份,龙泉股份:年报信息披露重大差错责任追究制度(2026年3月),管理办法/制度,2026-04-02,https://data.eastmoney.com/notices/detail/002671/AN202604011820956334.html,neutral,业绩公告,,,1
2026-04-02-1246,002671,龙泉股份,龙泉股份:关于公司未弥补亏损达到实收股本总额三分之一的公告,其他,2026-04-02,https://data.eastmoney.com/notices/detail/002671/AN202604011820956376.html,negative,低于预期,亏损,,1
2026-04-02-1468,001296,长江材料,长江材料:年报信息披露重大差错责任追究制度(2026年4月修订),管理办法/制度,2026-04-02,https://data.eastmoney.com/notices/detail/001296/AN202604011820954682.html,neutral,业绩公告,,,1
2026-04-02-1662,002204,大连重工,大连重工:2026年第一季度业绩预告,业绩预告,2026-04-02,https://data.eastmoney.com/notices/detail/002204/AN202604011820953470.html,neutral,业绩公告,,,1
