id,stock_code,stock_name,title,announce_type,publish_date,url
2026-03-27-1,300333,兆日科技,兆日科技:第五届董事会第十五次会议决议公告,高管人员任职变动,2026-03-27,https://data.eastmoney.com/notices/detail/300333/AN202603271820797991.html
2026-03-27-2,002739,万达电影,万达电影:002739万达电影投资者关系管理信息20260327,调研活动,2026-03-27,https://data.eastmoney.com/notices/detail/002739/AN202603271820807732.html
2026-03-27-3,301033,迈普医学,迈普医学:关于持股5%以上股东权益变动的提示性公告,权益变动报告书,2026-03-27,https://data.eastmoney.com/notices/detail/301033/AN202603271820805669.html
2026-03-27-4,002683,广东宏大,广东宏大:2026年3月27日投资者关系活动记录表,调研活动,2026-03-27,https://data.eastmoney.com/notices/detail/002683/AN202603271820804633.html
2026-03-27-5,300505,川金诺,川金诺:川金诺2026年3月26日、27日投资者关系活动记录表,调研活动,2026-03-27,https://data.eastmoney.com/notices/detail/300505/AN202603271820801687.html
2026-03-27-6,301079,邵阳液压,3-2法律意见书(申报稿)(邵阳维克液压股份有限公司),创业板重大资产重组法律意见书申报稿,2026-03-27,https://data.eastmoney.com/notices/detail/301079/AN202603271820794983.html
2026-03-27-7,600579,中化装备,中化装备:中化装备科技(青岛)股份有限公司2026年第二次临时股东会会议资料,股东大会资料,2026-03-27,https://data.eastmoney.com/notices/detail/600579/AN202603261820770194.html
2026-03-27-8,300657,弘信电子,弘信电子:关于为子公司提供担保的进展公告,提供/对外担保公告,2026-03-27,https://data.eastmoney.com/notices/detail/300657/AN202603271820793362.html
2026-03-27-9,688708,佳驰科技,佳驰科技:2026-004 佳驰科技投资者关系活动记录表,调研活动,2026-03-27,https://data.eastmoney.com/notices/detail/688708/AN202603271820799308.html
2026-03-27-10,601016,节能风电,6-1-1中节能风力发电股份有限公司二〇二四年度审计报告(申报稿)(中节能风力发电股份有限公司),沪主板再融资审计报告,2026-03-27,https://data.eastmoney.com/notices/detail/601016/AN202603291820836723.html
2026-03-27-11,002538,ST司特,司尔特:关于公司及相关当事人收到中国证监会安徽监管局《行政监管措施决定书》的公告,其他,2026-03-27,https://data.eastmoney.com/notices/detail/002538/AN202603271820814617.html
2026-03-27-12,002538,ST司特,司尔特:关于公司股票将被实施其他风险警示暨股票停复牌的提示性公告,停牌公告,2026-03-27,https://data.eastmoney.com/notices/detail/002538/AN202603271820814616.html
2026-03-27-13,002538,ST司特,司尔特:关于公司及相关当事人收到中国证监会安徽监管局《行政处罚及市场禁入事先告知书》的公告,处罚,2026-03-27,https://data.eastmoney.com/notices/detail/002538/AN202603271820814615.html
2026-03-27-14,300407,凯发电气,关于同意凯发电气再融资注册的批复,创业板发行上市审核注册结果通知,2026-03-27,https://data.eastmoney.com/notices/detail/300407/AN202603271820814238.html
2026-03-27-15,300416,苏试试验,苏试试验:300416苏试试验投资者关系管理信息20260327,调研活动,2026-03-27,https://data.eastmoney.com/notices/detail/300416/AN202603271820813184.html
2026-03-27-16,002916,深南电路,深南电路:2026年3月25日-27日投资者关系活动记录表,调研活动,2026-03-27,https://data.eastmoney.com/notices/detail/002916/AN202603271820812556.html
2026-03-27-17,300054,鼎龙股份,鼎龙股份:300054鼎龙股份投资者关系管理信息20260327,调研活动,2026-03-27,https://data.eastmoney.com/notices/detail/300054/AN202603271820812482.html
2026-03-27-18,920445,龙竹科技,龙竹科技:关于以集中竞价交易方式回购公司股份方案暨取得金融机构股票回购专项贷款承诺函的公告,借贷,2026-03-27,https://data.eastmoney.com/notices/detail/920445/AN202603271820811320.html
2026-03-27-19,A25204,泰诺麦博,上海证券交易所上市审核委员会2026年第16次审议会议公告,科创板发行上市审核上市委会议公告,2026-03-27,https://data.eastmoney.com/notices/detail/A25204/AN202603271820810606.html
2026-03-27-20,300879,大叶股份,大叶股份:2025年度业绩预告修正公告,业绩预告,2026-03-27,https://data.eastmoney.com/notices/detail/300879/AN202603271820810695.html
2026-03-27-21,A25204,泰诺麦博,华泰联合证券有限责任公司关于珠海泰诺麦博制药股份有限公司首次公开发行股票并在科创板上市的上市保荐书(上会稿)(珠海泰诺麦博制药股份有限公司),科创板发行上市上市保荐书,2026-03-27,https://data.eastmoney.com/notices/detail/A25204/AN202603271820810453.html
