id,stock_code,stock_name,title,announce_type,publish_date,url
2026-04-02-1,301533,威马农机,威马农机:2026年第一次临时股东会决议公告,股东大会决议公告,2026-04-02,https://data.eastmoney.com/notices/detail/301533/AN202604021820981738.html
2026-04-02-2,300662,科锐国际,科锐国际:关于获得政府补助的公告,获得补贴（资助）,2026-04-02,https://data.eastmoney.com/notices/detail/300662/AN202604021820985298.html
2026-04-02-3,301156,美农生物,美农生物:关于变更持续督导保荐代表人的公告,保荐代表人（机构）变更,2026-04-02,https://data.eastmoney.com/notices/detail/301156/AN202604021820982986.html
2026-04-02-4,688205,德科立,德科立:投资者关系活动记录表2026-001,调研活动,2026-04-02,https://data.eastmoney.com/notices/detail/688205/AN202604021820980565.html
2026-04-02-5,300005,探路者,探路者:关于2025年度向特定对象发行A股股票申请获得深圳证券交易所受理的公告,其他增发事项公告,2026-04-02,https://data.eastmoney.com/notices/detail/300005/AN202604021820975594.html
2026-04-02-6,601991,大唐发电,大唐发电:大唐发电关于超短期融资券发行的公告,其他,2026-04-02,https://data.eastmoney.com/notices/detail/601991/AN202604011820955080.html
2026-04-02-7,002948,青岛银行,青岛银行:2026年4月2日投资者关系活动记录表附件,调研活动,2026-04-02,https://data.eastmoney.com/notices/detail/002948/AN202604021820996640.html
2026-04-02-8,300476,胜宏科技,胜宏科技:关于完成工商变更登记并换发营业执照的公告,公司注册资本变更,2026-04-02,https://data.eastmoney.com/notices/detail/300476/AN202604021820995569.html
2026-04-02-9,A25025,华润控股,发行人及中介机构关于第二轮审核问询函的回复意见(华润新能源控股有限公司),深主板发行上市问询与回复,2026-04-02,https://data.eastmoney.com/notices/detail/A25025/AN202604021820992800.html
2026-04-02-10,A25017,永大股份,北京证券交易所上市委员会2026年第36次审议会议公告,北交所上市审核会议公告,2026-04-02,https://data.eastmoney.com/notices/detail/A25017/AN202604021820992665.html
2026-04-02-11,A25025,华润控股,3-2-1财务报告及审计报告(申报稿)(华润新能源控股有限公司),深主板发行上市审计报告,2026-04-02,https://data.eastmoney.com/notices/detail/A25025/AN202604021820991876.html
2026-04-02-12,A25025,华润控股,3-3-1法律意见书(申报稿)(华润新能源控股有限公司),深主板发行上市法律意见书,2026-04-02,https://data.eastmoney.com/notices/detail/A25025/AN202604021820991877.html
2026-04-02-13,A25025,华润控股,3-1-2发行保荐书(申报稿)(华润新能源控股有限公司),深主板发行上市发行保荐书,2026-04-02,https://data.eastmoney.com/notices/detail/A25025/AN202604021820991873.html
2026-04-02-14,A25025,华润控股,3-1-3上市保荐书(申报稿)(华润新能源控股有限公司),深主板发行上市上市保荐书,2026-04-02,https://data.eastmoney.com/notices/detail/A25025/AN202604021820991875.html
2026-04-02-15,A25025,华润控股,1-1招股说明书(申报稿)(华润新能源控股有限公司),深主板发行上市招股说明书申报稿,2026-04-02,https://data.eastmoney.com/notices/detail/A25025/AN202604021820991874.html
2026-04-02-16,688668,鼎通科技,鼎通科技:投资者关系活动记录表-2026.03(1),调研活动,2026-04-02,https://data.eastmoney.com/notices/detail/688668/AN202604021820984984.html
2026-04-02-17,300617,安靠智电,安靠智电:关于实际控制人及董事减持股份的预披露公告,股东/实际控制人股份减持,2026-04-02,https://data.eastmoney.com/notices/detail/300617/AN202604021820991299.html
2026-04-02-18,A23284,思索技术,3-3-1法律意见书(申报稿)(东莞市思索技术股份有限公司),创业板IPO法律意见书申报稿,2026-04-02,https://data.eastmoney.com/notices/detail/A23284/AN202604021820990030.html
2026-04-02-19,A23284,思索技术,3-1-2发行保荐书(申报稿)(东莞市思索技术股份有限公司),创业板IPO发行保荐书申报稿,2026-04-02,https://data.eastmoney.com/notices/detail/A23284/AN202604021820990029.html
2026-04-02-20,A23284,思索技术,3-1-3上市保荐书(申报稿)(东莞市思索技术股份有限公司),创业板IPO上市保荐书申报稿,2026-04-02,https://data.eastmoney.com/notices/detail/A23284/AN202604021820990027.html
2026-04-02-21,A23284,思索技术,3-2-1财务报告及审计报告(申报稿)(东莞市思索技术股份有限公司),创业板IPO审计报告申报稿,2026-04-02,https://data.eastmoney.com/notices/detail/A23284/AN202604021820990028.html
2026-04-02-22,A23284,思索技术,1-1招股说明书(申报稿)(东莞市思索技术股份有限公司),创业板IPO招股说明书申报稿,2026-04-02,https://data.eastmoney.com/notices/detail/A23284/AN202604021820990026.html
2026-04-02-23,300992,泰福泵业,泰福泵业:简式权益变动报告书,权益变动报告书,2026-04-02,https://data.eastmoney.com/notices/detail/300992/AN202604021820990007.html
2026-04-02-24,300992,泰福泵业,泰福泵业:详式权益变动报告书,权益变动报告书,2026-04-02,https://data.eastmoney.com/notices/detail/300992/AN202604021820990006.html
2026-04-02-25,300992,泰福泵业,泰福泵业:东方证券股份有限公司关于浙江泰福泵业股份有限公司详式权益变动报告书之财务顾问核查意见,保荐/核查意见,2026-04-02,https://data.eastmoney.com/notices/detail/300992/AN202604021820990005.html
2026-04-02-26,300992,泰福泵业,泰福泵业:关于披露权益变动报告书的提示性公告,权益变动报告书,2026-04-02,https://data.eastmoney.com/notices/detail/300992/AN202604021820990008.html
2026-04-02-27,920445,龙竹科技,龙竹科技:回购股份报告书公告,回购报告书,2026-04-02,https://data.eastmoney.com/notices/detail/920445/AN202604021820989873.html
2026-04-02-28,300054,鼎龙股份,鼎龙股份:300054鼎龙股份投资者关系管理信息20260402,调研活动,2026-04-02,https://data.eastmoney.com/notices/detail/300054/AN202604021820989808.html
2026-04-02-29,002129,TCL中环,TCL中环:TCL中环2025年度业绩说明会投资者关系活动记录表,调研活动,2026-04-02,https://data.eastmoney.com/notices/detail/002129/AN202604021820989672.html
2026-04-02-30,300465,高伟达,高伟达:300465高伟达投资者关系管理信息20260402,调研活动,2026-04-02,https://data.eastmoney.com/notices/detail/300465/AN202604021820989667.html
